id,title,primary_artist,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_s,year,lyrics
5h6SovHOYpIMlAkafxcbq3,Funk #49,James Gang,['James Gang'],0.652,0.94,2,-7.927,1,0.0776,0.0398,0.782,0.0567,0.72,91.242,4,246,1970,None
3LQPTJEqOfljGBxmpgUnoC,American Woman,The Guess Who,['The Guess Who'],0.55,0.726,2,-8.51,1,0.0516,0.146,0.00608,0.428,0.37,92.697,4,307,1970,"[Intro]American woman gonna mess your mindAmerican woman, she gonna mess your mindMm, American woman gonna mess your mindMm, American woman gonna mess your mindSay ASay MSay ESay RSay ICSay AN, mmmAmerican woman gonna mess your mindMm, American woman gonna mess your mindUh, American woman gonna mess your mindUh![Verse 1]American woman, stay away from meAmerican woman, mama, let me beDon't come a-hangin' around my doorI don't wanna see your face no moreI got more important things to doThan spend my time growin' old with youNow woman, I said stay awayAmerican woman, listen what I say[Verse 2]American woman, get away from meAmerican woman, mama, let me beDon't come a-knockin' around my doorDon't wanna see your shadow no moreColoured lights can hypnotizeSparkle someone else's eyesNow woman, I said get awayAmerican woman, listen what I say, hey[Guitar Solo][Verse 3]American woman, said get awayAmerican woman, listen what I sayDon't come a-hangin' around my doorDon't wanna see your face no moreI don't need your war machinesI don't need your ghetto scenesColored lights can hypnotizeSparkle someone else's eyesNow woman, get away from meAmerican woman, mama, let me be"
4ZEEcEMGjkWOfZNBcIB9yE,War,Edwin Starr,['Edwin Starr'],0.59,0.671,1,-12.484,1,0.154,0.0939,0.0,0.248,0.736,109.333,4,200,1970,"[Intro](War, huh) Yeah!(What is it good for?) Absolutely nothing, uhuh(War, huh) Yeah!(What is it good for?) Absolutely nothingSay it again, y'all!(War, huh) Lookout!(What is it good for?) Absolutely nothingListen to me, awwwww![Verse 1]War I despise'Cause it means destruction of innocent livesWar means tears to thousands of mothers' eyesWhen their sons go out to fight and lose their livesI said[Hook](War, huh) Good God y'all(What is it good for?) Absolutely nothing, say it again(War, huh) Lord, lord, lord, lord(What is it good for?) Absolutely nothingListen to me![Verse 2](War), It ain't nothing but a heartbreaker(War), Friend only to the undertaker, awwwwWar is the enemy of all mankindThe thought of war blows my mindWar has caused unrest, within the younger generationInduction then destructionWho wants to die?Awwww!"
4NQfrmGs9iQXVQI9IpRhjM,The Thrill Is Gone,B.B. King,['B.B. King'],0.547,0.46,11,-8.759,0,0.0256,0.344,0.442,0.0983,0.543,90.768,4,325,1970,None
5tmrnhMxx39jnu3kjopMdP,Evil Ways,Santana,['Santana'],0.704,0.528,5,-13.382,1,0.0358,0.22,0.35,0.14,0.73,117.472,4,238,1970,"[Intro][Verse 1]You've got to change your evil ways, babyBefore I stop lovin' youYou've got to change, babyAnd every word that I say is true[Chorus 1]You got me runnin' and hidin' all over townYou got me sneakin' and a-peepin' and runnin' you downThis can't go on, Lord knows you got to change, babyBaby[Verse 2]When I come home, babyMy house is dark and my pots are coldYou're hangin' round, babyWith Jean and Joan and-a who knows who[Chorus 2]I'm gettin' tired of waitin' and foolin' aroundI'll find somebody who won't make me feel like a clownThis can't go on, Lord knows you got to change[Bridge][Verse 2]When I come home, babyMy house is dark and my pots are coldYou're hangin' round, babyWith Jean and Joan and-a who knows who[Chorus 3]I'm gettin' tired of waitin' and foolin' aroundI'll find somebody who won't make me feel like a clownThis can't go on, yeh yeh yeh[Outro]"
4pW3aTX3kAmOaPJfc9UM12,Express Yourself,Charles Wright & The Watts 103rd Street Rhythm Band,['Charles Wright & The Watts 103rd Street Rhythm Band'],0.789,0.683,8,-8.835,1,0.086,0.48,0.0,0.35,0.882,92.311,4,234,1970,None
1MHgV79MSYE6ymNlGa3bRY,I'll Never Fall in Love Again,Dionne Warwick,['Dionne Warwick'],0.676,0.339,1,-13.805,1,0.0509,0.717,9.77e-06,0.109,0.756,136.882,4,175,1970,None
4Dq749x2QP6OXTURJ9GGY8,The Tears Of A Clown,Smokey Robinson & The Miracles,['Smokey Robinson & The Miracles'],0.593,0.607,1,-9.886,1,0.0283,0.147,0.0,0.128,0.953,128.365,4,182,1970,None
7s2orxqJ8qE0aG3Ngvct3C,Green-Eyed Lady,Sugarloaf,['Sugarloaf'],0.564,0.523,7,-12.908,1,0.122,0.178,0.0303,0.0624,0.89,149.304,4,220,1970,"Green-eyed lady, lovely ladyStrolling slowly towards the sunGreen-eyed lady, ocean ladySoothing every raging wave that comesGreen-eyed lady, passion's ladyDressed in love, she lives for life to beGreen-eyed lady feels life I never seeSetting suns and lonely lovers freeGreen-eyed lady, wind-swept ladyRules the night, the waves, the sandGreen-eyed lady, ocean ladyChild of nature, friend of manGreen-eyed lady, passion's ladyDressed in love, she lives for life to beGreen-eyed lady feels life I never seeSetting suns and lonely lovers free"
1KbuhBnzMHp4eq1q6flhWd,Ain't No Mountain High Enough,Diana Ross,['Diana Ross'],0.393,0.792,8,-5.076,1,0.0448,0.191,0.00364,0.376,0.379,98.757,4,215,1970,None
4ntaCVtTclqT43krz9n3Z9,Lady D'Arbanville,Yusuf / Cat Stevens,['Yusuf / Cat Stevens'],0.538,0.261,4,-12.616,0,0.0364,0.439,1.02e-05,0.0887,0.528,102.153,4,225,1970,None
3beYmUcaXJZiSZMPbsMI7p,No Sugar Tonight / New Mother Nature,The Guess Who,['The Guess Who'],0.512,0.833,1,-8.697,0,0.0448,0.557,2.98e-05,0.31,0.519,101.188,4,294,1970,None
