danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,nltk,Happy,Angry,Surprise,Sad,Fear,primary_genre
0.558,0.464,-8.488,0.0354,0.583,0.000133,0.159,0.558,171.762,0.632,0.11,0.0,0.26,0.37,0.26,rock
0.594,0.529,-9.338,0.0287,0.276,3.92e-05,0.148,0.511,109.703,0.3612,0.0,0.09,0.14,0.64,0.14,rock
0.712,0.632,-7.704,0.0334,0.112,0.0,0.0648,0.764,119.931,-0.7219,0.14,0.31,0.03,0.14,0.38,rock
0.653,0.494,-14.79,0.102,0.389,1.46e-06,0.0677,0.905,137.463,0.9385,0.0,0.0,0.1,0.67,0.24,rock
0.616,0.577,-8.834,0.0407,0.535,0.0,0.0808,0.592,145.863,-0.5423,0.1,0.24,0.24,0.29,0.14,rock
0.22,0.361,-12.017,0.0277,0.422,0.000311,0.149,0.382,83.133,0.882,0.41,0.07,0.07,0.33,0.11,rock
0.495,0.307,-18.168,0.0403,0.26,5.21e-05,0.103,0.802,80.97,-0.3034,0.2,0.0,0.3,0.2,0.3,rock
0.588,0.708,-7.823,0.0351,0.445,3.94e-05,0.293,0.579,131.197,0.8902,0.05,0.05,0.22,0.3,0.38,rock
0.703,0.292,-10.924,0.036,0.805,3.76e-06,0.08,0.855,84.032,0.9753,0.05,0.0,0.05,0.74,0.16,pop
0.547,0.561,-10.056,0.0322,0.491,7.47e-06,0.146,0.899,127.295,0.7607,0.06,0.08,0.19,0.39,0.28,rock
0.513,0.347,-13.506,0.029,0.273,0.0417,0.0805,0.52,78.811,0.9831,0.55,0.03,0.1,0.24,0.07,rock
0.466,0.476,-9.289,0.031,0.749,0.0,0.22,0.856,133.731,0.9973,0.08,0.0,0.0,0.62,0.31,rock
0.414,0.317,-12.9,0.026,0.678,2.56e-05,0.213,0.673,86.111,0.9306,0.34,0.0,0.07,0.34,0.24,rock
0.203,0.401,-12.341,0.0339,0.434,0.0,0.1,0.17,201.467,0.9893,0.05,0.27,0.05,0.36,0.27,rock
0.671,0.497,-12.53,0.0289,0.484,0.0027,0.0893,0.564,105.117,-0.9878,0.17,0.11,0.28,0.22,0.22,rock
0.341,0.325,-9.421,0.038,0.765,0.0,0.3,0.292,93.265,0.8249,0.21,0.0,0.09,0.55,0.15,rock
0.745,0.887,-5.604,0.0568,0.0295,0.018,0.103,0.936,106.047,0.8872,0.06,0.0,0.82,0.05,0.06,rock
0.384,0.393,-7.959,0.0349,0.641,1.69e-06,0.0869,0.446,167.241,0.9735,0.0,0.0,0.0,0.18,0.82,rock
0.61,0.363,-12.576,0.0322,0.679,2.83e-05,0.18,0.462,118.509,0.8466,0.31,0.15,0.0,0.38,0.15,rock
0.662,0.772,-7.135,0.0356,0.332,1.22e-06,0.314,0.914,127.025,0.7881,0.04,0.17,0.08,0.33,0.38,rock
0.414,0.681,-3.992,0.036,0.612,7.98e-06,0.248,0.538,102.338,0.9903,0.36,0.14,0.07,0.29,0.14,pop
0.585,0.38,-14.437,0.0261,0.201,0.0,0.071,0.573,92.517,0.8834,0.0,0.12,0.29,0.47,0.12,pop
0.538,0.652,-11.285,0.052,0.0465,0.0,0.0734,0.785,130.398,0.575,0.0,0.0,0.6,0.0,0.4,rock
0.72,0.5,-7.306,0.0347,0.509,0.0,0.147,0.609,105.727,-0.9613,0.19,0.24,0.1,0.24,0.24,rock
0.628,0.753,-6.719,0.0291,0.127,0.0,0.188,0.876,121.992,0.9978,0.64,0.02,0.26,0.04,0.04,pop
0.48,0.609,-12.193,0.0432,0.102,0.0,0.592,0.616,135.774,0.9892,0.42,0.0,0.14,0.36,0.08,rock
0.512,0.977,-4.505,0.0671,0.215,0.0,0.343,0.731,120.165,-0.8874,0.0,0.18,0.09,0.0,0.73,pop
0.688,0.577,-12.093,0.0292,0.493,1.04e-05,0.528,0.961,109.077,0.9493,0.22,0.0,0.17,0.0,0.61,rock
0.587,0.786,-6.048,0.0349,0.184,0.267,0.0302,0.793,136.089,0.7351,0.0,0.0,0.25,0.25,0.5,rock
0.767,0.517,-9.908,0.195,0.791,0.000186,0.078,0.846,144.322,0.7945,0.06,0.18,0.0,0.24,0.53,rock
0.251,0.917,-5.552,0.118,0.000678,0.000453,0.217,0.504,127.112,0.9618,0.0,0.0,0.0,0.5,0.5,rock
